gene,logFC,p_value,adj_p_value
205120_s_at,1.0888399561936044,2.876913946181535e-05,5.2186806791568826e-05
205129_at,1.0546391887886468,1.9150071697949008e-11,2.5159736607728016e-10
205135_s_at,1.0265059195165591,9.008027540719108e-08,3.035178454011697e-07
205155_s_at,1.003115499711945,4.873788830135815e-08,1.7780392354603204e-07
205158_at,1.203793179513724,5.934468595866194e-05,0.0001013626887334711
205165_at,1.1068855569092149,5.7308105457989616e-09,2.80611338047736e-08
205173_x_at,1.2597782893399474,4.4830204687341565e-08,1.6555377047531192e-07
205174_s_at,1.009036361099211,7.6231495636975674e-06,1.5654468871797338e-05
205194_at,1.1124658234657279,8.470204144290668e-15,7.703737099886897e-13
205208_at,1.1563720126419392,0.00015916504671539488,0.0002512521065428694
205213_at,1.090887394637254,5.928599994780921e-11,6.246193554785025e-10
205219_s_at,1.0357612841201158,5.1819018224439467e-14,2.8370594179242862e-12
205226_at,1.1509363046619718,9.341300377007727e-06,1.882878302133543e-05
205233_s_at,1.0526844370434905,5.836820414623725e-07,1.5655015563199381e-06
205237_at,1.081057219423406,1.9112549471572953e-06,4.526838221461098e-06
205241_at,1.2103677647152402,7.851124030807802e-08,2.6931434233141974e-07
205320_at,1.1738759532393495,9.141403342133441e-10,5.998171103438147e-09
205321_at,1.017894410177762,1.6273206431266214e-09,9.700798793683923e-09
205334_at,1.0801798113227363,7.531967712025911e-09,3.549055540855855e-08
205337_at,1.0837941974499614,6.104022798991427e-10,4.2611510034437955e-09
205366_s_at,1.2115447849665681,1.701678339213572e-06,4.070692263306068e-06
205382_s_at,1.382442776727249,0.009997336344507394,0.01196983750280255
205393_s_at,1.063235696741243,7.051500481912409e-07,1.8533685449216114e-06
205421_at,1.0029460481662542,0.00011076490900753018,0.0001799636167317875
205455_at,1.2135418952504748,3.761871651395667e-09,1.9649738867334656e-08
205458_at,1.1246291640945838,2.0360738519815515e-06,4.791913143610573e-06
205483_s_at,1.1075365544190525,3.940831798263682e-05,6.949377131159322e-05
205485_at,1.3373468901637722,4.649599550409074e-10,3.363864505901474e-09
205505_at,1.027348933264264,1.412772388131207e-10,1.2693873840616003e-09
205511_at,1.1303128715859314,6.612204271433154e-07,1.7494626903389336e-06
205523_at,1.0775374325198008,6.061868739879245e-08,2.1495324813928901e-07
205541_s_at,1.0912641078124352,6.027175738846656e-11,6.329102591362866e-10
205542_at,1.0116183039588318,1.661572577362761e-12,3.70618836249994e-11
205556_at,1.315165602501211,7.139462186874016e-14,3.665636772122435e-12
205612_at,1.0072732607810906,1.0835147340122548e-10,1.0230491024574184e-09
205628_at,1.1082668646183587,6.248548389501016e-05,0.00010619005778161312
205650_s_at,1.1091071665267958,1.8527641840169357e-07,5.701580487839991e-07
205665_at,1.0297646553309434,4.985760399670096e-06,1.0657875957967072e-05
205706_s_at,1.0780554945853122,1.2479860784718537e-08,5.455929720735396e-08
205728_at,1.1438292193847106,5.033091553740431e-07,1.3723981778267012e-06
